vx(m/s),vy(m/s),yaw_rate(rad/s),steering(rad),throttle(%),brake(%)
8.34425831,-0.02005175,-0.01448051,-0.00603191350021692,0.21428572,0.0
8.34773064,-0.02003825,-0.01447383,-0.00603191350021692,0.21825312,0.0
8.35161591,-0.0200392,-0.01447573,-0.00603191350021692,0.22222053,0.0
8.35590744,-0.02003279,-0.01447437,-0.006199466622950287,0.22618793,0.0
8.36060429,-0.02001697,-0.01446686,-0.006343083925292379,0.23015533,0.0
8.36573792,-0.02001253,-0.01446158,-0.006630318097250305,0.23412274,0.0
8.37124825,-0.02061686,-0.01485036,-0.006941488522325766,0.23412274,0.0
8.37712193,-0.02075043,-0.01507696,-0.007300530804546908,0.23809016,0.0
8.38986301,-0.02240184,-0.01628592,-0.008066488091587401,0.23809016,0.0
8.39666748,-0.02348638,-0.01711416,-0.008210105177566363,0.24205756,0.0
8.40370464,-0.02501556,-0.01823653,-0.008234041214320769,0.24205756,0.0
8.41094589,-0.02582404,-0.01895971,-0.008353721614455932,0.24205756,0.0
8.4260273,-0.0270654,-0.01972165,-0.00837765765121034,0.24602497,0.0
8.43380451,-0.02772909,-0.02003466,-0.00837765765121034,0.24999237,0.0
8.44175434,-0.02795598,-0.02017421,-0.00837765765121034,0.24999237,0.0
8.44986153,-0.02813993,-0.02023771,-0.00837765765121034,0.25395977,0.0
8.45814228,-0.02823767,-0.02027481,-0.00837765765121034,0.25792718,0.0
8.46658325,-0.02828239,-0.02030064,-0.00837765765121034,0.26189458,0.0
8.47521687,-0.02828047,-0.02031618,-0.00837765765121034,0.26586199,0.0
8.48407555,-0.02830267,-0.02035747,-0.00837765765121034,0.26586199,0.0
8.49318981,-0.02826577,-0.02037507,-0.00837765765121034,0.26982939,0.0
8.50256634,-0.02824929,-0.02039399,-0.00837765765121034,0.2737968,0.0
8.51217556,-0.02819622,-0.02039099,-0.00837765765121034,0.2777642,0.0
8.5220356,-0.02818969,-0.02039975,-0.00837765765121034,0.2777642,0.0
8.53216839,-0.02823223,-0.02044761,-0.00837765765121034,0.28173161,0.0
8.54257965,-0.02821098,-0.02045919,-0.00837765765121034,0.28569904,0.0
